event_id,store_id,campaign_id,product_code,base_price,promo_type,quantity_sold(before_promo),quantity_sold(after_promo),campaign_name,start_date,end_date,product_name,category,city
7f650b,STCBE-2,CAMP_SAN_01,P11,190,50% OFF,34,52,Sankranti,10-01-2024,16-01-2024,Atliq_Doodh_Kesar_Body_Lotion (200ML),Personal Care,Coimbatore
3df185,STCBE-2,CAMP_DIW_01,P11,190,50% OFF,40,62,Diwali,12-11-2023,18-11-2023,Atliq_Doodh_Kesar_Body_Lotion (200ML),Personal Care,Coimbatore
367e8d,STCBE-2,CAMP_SAN_01,P07,300,BOGOF,30,123,Sankranti,10-01-2024,16-01-2024,Atliq_Curtains,Home Care,Coimbatore
f41ca1,STCBE-2,CAMP_DIW_01,P07,300,BOGOF,42,166,Diwali,12-11-2023,18-11-2023,Atliq_Curtains,Home Care,Coimbatore
2ae8b8,STCBE-2,CAMP_SAN_01,P10,50,25% OFF,22,18,Sankranti,10-01-2024,16-01-2024,Atliq_Cream_Beauty_Bathing_Soap (125GM),Personal Care,Coimbatore
5a0c33,STCBE-2,CAMP_DIW_01,P10,65,50% OFF,87,127,Diwali,12-11-2023,18-11-2023,Atliq_Cream_Beauty_Bathing_Soap (125GM),Personal Care,Coimbatore
3c3c49,STCBE-2,CAMP_SAN_01,P08,1190,BOGOF,40,168,Sankranti,10-01-2024,16-01-2024,Atliq_Double_Bedsheet_set,Home Care,Coimbatore
8.31E+08,STCBE-2,CAMP_DIW_01,P08,1190,BOGOF,33,129,Diwali,12-11-2023,18-11-2023,Atliq_Double_Bedsheet_set,Home Care,Coimbatore
5c2d1f,STCBE-2,CAMP_SAN_01,P03,200,BOGOF,304,1340,Sankranti,10-01-2024,16-01-2024,Atliq_Suflower_Oil (1L),Grocery & Staples,Coimbatore
e875c6,STCBE-2,CAMP_DIW_01,P03,156,25% OFF,225,195,Diwali,12-11-2023,18-11-2023,Atliq_Suflower_Oil (1L),Grocery & Staples,Coimbatore
ca7298,STCBE-2,CAMP_SAN_01,P15,3000,500 Cashback,85,228,Sankranti,10-01-2024,16-01-2024,Atliq_Home_Essential_8_Product_Combo,Combo1,Coimbatore
8d5095,STCBE-2,CAMP_DIW_01,P15,3000,500 Cashback,234,840,Diwali,12-11-2023,18-11-2023,Atliq_Home_Essential_8_Product_Combo,Combo1,Coimbatore
508621,STCBE-2,CAMP_SAN_01,P02,860,33% OFF,508,751,Sankranti,10-01-2024,16-01-2024,Atliq_Sonamasuri_Rice (10KG),Grocery & Staples,Coimbatore
58df9b,STCBE-2,CAMP_DIW_01,P02,860,33% OFF,183,327,Diwali,12-11-2023,18-11-2023,Atliq_Sonamasuri_Rice (10KG),Grocery & Staples,Coimbatore
6bfa15,STCBE-2,CAMP_SAN_01,P06,415,25% OFF,16,13,Sankranti,10-01-2024,16-01-2024,Atliq_Fusion_Container_Set_of_3,Home Care,Coimbatore
a216f7,STCBE-2,CAMP_DIW_01,P06,415,25% OFF,77,68,Diwali,12-11-2023,18-11-2023,Atliq_Fusion_Container_Set_of_3,Home Care,Coimbatore
c5176d,STCBE-2,CAMP_SAN_01,P01,172,33% OFF,196,307,Sankranti,10-01-2024,16-01-2024,Atliq_Masoor_Dal (1KG),Grocery & Staples,Coimbatore
1f8bc3,STCBE-2,CAMP_DIW_01,P01,172,33% OFF,190,313,Diwali,12-11-2023,18-11-2023,Atliq_Masoor_Dal (1KG),Grocery & Staples,Coimbatore
d5769b,STCBE-2,CAMP_SAN_01,P09,90,25% OFF,42,34,Sankranti,10-01-2024,16-01-2024,Atliq_Body_Milk_Nourishing_Lotion (120ML),Personal Care,Coimbatore
3f34d5,STCBE-2,CAMP_DIW_01,P09,110,50% OFF,50,80,Diwali,12-11-2023,18-11-2023,Atliq_Body_Milk_Nourishing_Lotion (120ML),Personal Care,Coimbatore
005c46,STCBE-2,CAMP_SAN_01,P05,55,25% OFF,18,15,Sankranti,10-01-2024,16-01-2024,Atliq_Scrub_Sponge_For_Dishwash,Home Care,Coimbatore
ec9948,STCBE-2,CAMP_DIW_01,P05,55,25% OFF,99,86,Diwali,12-11-2023,18-11-2023,Atliq_Scrub_Sponge_For_Dishwash,Home Care,Coimbatore
6c7601,STCBE-2,CAMP_SAN_01,P14,1020,BOGOF,78,334,Sankranti,10-01-2024,16-01-2024,Atliq_waterproof_Immersion_Rod,Home Appliances,Coimbatore
27bc6e,STCBE-2,CAMP_DIW_01,P14,1020,BOGOF,42,160,Diwali,12-11-2023,18-11-2023,Atliq_waterproof_Immersion_Rod,Home Appliances,Coimbatore
1271,STCBE-2,CAMP_SAN_01,P13,350,BOGOF,121,500,Sankranti,10-01-2024,16-01-2024,Atliq_High_Glo_15W_LED_Bulb,Home Appliances,Coimbatore
35fb5b,STCBE-2,CAMP_DIW_01,P13,350,BOGOF,50,190,Diwali,12-11-2023,18-11-2023,Atliq_High_Glo_15W_LED_Bulb,Home Appliances,Coimbatore
d81627,STCBE-2,CAMP_SAN_01,P04,370,BOGOF,355,1508,Sankranti,10-01-2024,16-01-2024,Atliq_Farm_Chakki_Atta (1KG),Grocery & Staples,Coimbatore
c405b3,STCBE-2,CAMP_DIW_01,P04,290,25% OFF,252,221,Diwali,12-11-2023,18-11-2023,Atliq_Farm_Chakki_Atta (1KG),Grocery & Staples,Coimbatore
a71e7c,STCBE-2,CAMP_SAN_01,P12,62,50% OFF,33,51,Sankranti,10-01-2024,16-01-2024,Atliq_Lime_Cool_Bathing_Bar (125GM),Personal Care,Coimbatore
0f1be6,STCBE-2,CAMP_DIW_01,P12,62,50% OFF,89,129,Diwali,12-11-2023,18-11-2023,Atliq_Lime_Cool_Bathing_Bar (125GM),Personal Care,Coimbatore
d5b8af,STVJD-1,CAMP_SAN_01,P11,190,50% OFF,25,35,Sankranti,10-01-2024,16-01-2024,Atliq_Doodh_Kesar_Body_Lotion (200ML),Personal Care,Vijayawada
f1cd45,STVJD-1,CAMP_DIW_01,P11,190,50% OFF,50,64,Diwali,12-11-2023,18-11-2023,Atliq_Doodh_Kesar_Body_Lotion (200ML),Personal Care,Vijayawada
30f1c0,STVJD-1,CAMP_SAN_01,P07,300,BOGOF,22,88,Sankranti,10-01-2024,16-01-2024,Atliq_Curtains,Home Care,Vijayawada
a298bc,STVJD-1,CAMP_DIW_01,P07,300,BOGOF,33,109,Diwali,12-11-2023,18-11-2023,Atliq_Curtains,Home Care,Vijayawada
5f18fc,STVJD-1,CAMP_SAN_01,P10,50,25% OFF,18,13,Sankranti,10-01-2024,16-01-2024,Atliq_Cream_Beauty_Bathing_Soap (125GM),Personal Care,Vijayawada
ec5570,STVJD-1,CAMP_DIW_01,P10,65,50% OFF,71,95,Diwali,12-11-2023,18-11-2023,Atliq_Cream_Beauty_Bathing_Soap (125GM),Personal Care,Vijayawada
fa5b45,STVJD-1,CAMP_SAN_01,P08,1190,BOGOF,27,109,Sankranti,10-01-2024,16-01-2024,Atliq_Double_Bedsheet_set,Home Care,Vijayawada
7e9777,STVJD-1,CAMP_DIW_01,P08,1190,BOGOF,24,82,Diwali,12-11-2023,18-11-2023,Atliq_Double_Bedsheet_set,Home Care,Vijayawada
315542,STVJD-1,CAMP_SAN_01,P03,200,BOGOF,183,710,Sankranti,10-01-2024,16-01-2024,Atliq_Suflower_Oil (1L),Grocery & Staples,Vijayawada
47af00,STVJD-1,CAMP_DIW_01,P03,156,25% OFF,183,150,Diwali,12-11-2023,18-11-2023,Atliq_Suflower_Oil (1L),Grocery & Staples,Vijayawada
6c1493,STVJD-1,CAMP_SAN_01,P15,3000,500 Cashback,66,144,Sankranti,10-01-2024,16-01-2024,Atliq_Home_Essential_8_Product_Combo,Combo1,Vijayawada
